"card_id","key_infor","vietnamese_meaning","english_meaning","english_meaning_separated_by_space","english_ipa","english_ipa_separated_by_space"
"36","ramps, fall into, certain orientation, plain side up, engraved side up","Những chiếc bánh quy di chuyển qua các đường dốc được thiết kế để làm chúng rơi vào một hướng nhất định; một mặt sẽ nằm ngửa mặt trơn lên trên, trong khi mặt kia sẽ nằm với mặt có khắc hình hướng lên trên.","The biscuits travel over ramps designed to make them fall into a **certain orientation**; one side lands plain side up while the other one lands with the **engraved side up**.","The___biscuits___travel___over___ramps___designed___to___make___them___fall___into___a___**certain___orientation**;___one___side___lands___plain___side___up___while___the___other___one___lands___with___the___**engraved___side___up**.","/ðə ˈbɪskəts ˈtrævəl ˈoʊvɚ ræmps dɪˈzaɪnd tə meɪk ðɛm fɔl ˈɪntu ə ˈsɜrtən ˌɔriɛnˈteɪʃən wʌn saɪd lændz pleɪn saɪd ʌp waɪl ðə ˈʌðɚ wʌn lændz wɪð ðə ɪnˈgreɪvd saɪd ʌp/","ðə___ˈbɪskəts___ˈtrævəl___ˈoʊvɚ___ræmps___dɪˈzaɪnd___tə___meɪk___ðɛm___fɔl___ˈɪntu___ə___ˈsɜrtən___ˌɔriɛnˈteɪʃən___wʌn___saɪd___lændz___pleɪn___saɪd___ʌp___waɪl___ðə___ˈʌðɚ___wʌn___lændz___wɪð___ðə___ɪnˈgreɪvd___saɪd___ʌp"
"37","puts, them, correct position, all-important, cream filling","Điều này đặt chúng vào đúng vị trí để chuẩn bị cho phần nhân kem cực kỳ quan trọng.","This puts them in the **correct position** for the **all-important** cream filling.","This___puts___them___in___the___**correct___position**___for___the___**all-important**___cream___filling.","/ðɪs pʊts ðɛm ɪn ðə kəˈrɛkt pəˈzɪʃən fɔr ðə ˈɔl.ɪmˈpɔrtənt krim ˈfɪlɪŋ/","ðɪs___pʊts___ðɛm___ɪn___ðə___kəˈrɛkt___pəˈzɪʃən___fɔr___ðə___ˈɔl.ɪmˈpɔrtənt___krim___ˈfɪlɪŋ"
"38","cylindrical pump, deposits, vanilla filling, onto, plain side","Một máy bơm hình trụ bơm phần kem nhân vani lên mặt trơn của bánh quy.","A **cylindrical pump** **deposits** the vanilla filling onto the plain side of the biscuits.","A___**cylindrical___pump**___**deposits**___the___vanilla___filling___onto___the___plain___side___of___the___biscuits.","/ə səˈlɪndrɪkəl pʌmp dɪˈpɑzəts ðə vəˈnɪlə ˈfɪlɪŋ ˈɑntu ðə pleɪn saɪd əv ðə ˈbɪskəts/","ə___səˈlɪndrɪkəl___pʌmp___dɪˈpɑzəts___ðə___vəˈnɪlə___ˈfɪlɪŋ___ˈɑntu___ðə___pleɪn___saɪd___əv___ðə___ˈbɪskəts"
"39","travel to, a station, machinery presses, top biscuit, bottom one","Sau đó, những chiếc bánh quy này di chuyển đến một trạm nơi máy móc ép chiếc bánh quy phía trên xuống chiếc phía dưới.","These biscuits then travel to a station where **machinery presses** the top biscuit onto the bottom one.","These___biscuits___then___travel___to___a___station___where___**machinery___presses**___the___top___biscuit___onto___the___bottom___one.","/ðiz ˈbɪskəts ðɛn ˈtrævəl tə ə ˈsteɪʃən wɛr məˈʃinəri ˈprɛsəz ðə tɑp ˈbɪskət ˈɑntu ðə ˈbɑtəm wʌn/","ðiz___ˈbɪskəts___ðɛn___ˈtrævəl___tə___ə___ˈsteɪʃən___wɛr___məˈʃinəri___ˈprɛsəz___ðə___tɑp___ˈbɪskət___ˈɑntu___ðə___ˈbɑtəm___wʌn"
"40","assembled, mechanical fingers, separate into bunches, grippers, swing into action","Sau khi bánh đã được ráp xong, những ngón tay cơ khí sẽ tách chúng thành từng cụm, sau đó các kẹp gắp sẽ hoạt động và di chuyển từng cụm về phía trước rồi thả chúng vào khay nhựa.","Once the cookies have been assembled, **mechanical fingers** separate them into bunches, then **grippers** swing into action and move each bunch forward and then release it into plastic trays.","Once___the___cookies___have___been___assembled,___**mechanical___fingers**___separate___them___into___bunches,___then___**grippers**___swing___into___action___and___move___each___bunch___forward___and___then___release___it___into___plastic___trays.","/wʌns ðə ˈkʊkiz hæv bɪn əˈsɛmbəld məˈkænɪkəl ˈfɪŋgɚz ˈsɛpəreɪt ðɛm ˈɪntu ˈbʌntʃəz ðɛn ˈgrɪpɚz swɪŋ ˈɪntu ˈækʃən ænd muv itʃ bʌntʃ ˈfɔrwɚd ænd ðɛn rɪˈlis ɪt ˈɪntu ˈplæstɪk treɪz/","wʌns___ðə___ˈkʊkiz___hæv___bɪn___əˈsɛmbəld___məˈkænɪkəl___ˈfɪŋgɚz___ˈsɛpəreɪt___ðɛm___ˈɪntu___ˈbʌntʃəz___ðɛn___ˈgrɪpɚz___swɪŋ___ˈɪntu___ˈækʃən___ænd___muv___itʃ___bʌntʃ___ˈfɔrwɚd___ænd___ðɛn___rɪˈlis___ɪt___ˈɪntu___ˈplæstɪk___treɪz"
"41","entire process, takes about, 90 minutes, churning out, every minute","Toàn bộ quá trình làm bánh mất khoảng 90 phút, sản xuất ra 3.000 chiếc bánh mỗi phút.","The entire cookie making process takes about 90 minutes, **churning out** 3,000 cookies every minute.","The___entire___cookie___making___process___takes___about___90___minutes,___**churning___out**___3,000___cookies___every___minute.","/ðə ɪnˈtaɪɚ ˈkʊki ˈmeɪkɪŋ ˈprɑsɛs teɪks əˈbaʊt ˈnaɪnti ˈmɪnəts ˈtʃɜrnɪŋ aʊt ˈθri.ˈθaʊzənd ˈkʊkiz ˈɛvri ˈmɪnət/","ðə___ɪnˈtaɪɚ___ˈkʊki___ˈmeɪkɪŋ___ˈprɑsɛs___teɪks___əˈbaʊt___ˈnaɪnti___ˈmɪnəts___ˈtʃɜrnɪŋ___aʊt___ˈθri.ˈθaʊzənd___ˈkʊkiz___ˈɛvri___ˈmɪnət"
"42","trays, full of biscuits, move on to, quality control, station","Những chiếc khay, giờ đã đầy bánh quy, di chuyển đến trạm kiểm soát chất lượng.","The trays, now full of biscuits, move on to the **quality control station**.","The___trays,___now___full___of___biscuits,___move___on___to___the___**quality___control___station**.","/ðə treɪz naʊ fʊl əv ˈbɪskəts muv ɑn tə ðə ˈkwɑləti kənˈtroʊl ˈsteɪʃən/","ðə___treɪz___naʊ___fʊl___əv___ˈbɪskəts___muv___ɑn___tə___ðə___ˈkwɑləti___kənˈtroʊl___ˈsteɪʃən"
"43","QC station, undergo, quality control checks, meet, standards","Tại trạm QC, những chiếc bánh Oreo trải qua các bước kiểm tra chất lượng để đảm bảo chúng đáp ứng tiêu chuẩn của công ty.","At the QC station, the Oreo cookies **undergo** quality control checks to ensure they **meet the company's standards**.","At___the___QC___station,___the___Oreo___cookies___**undergo**___quality___control___checks___to___ensure___they___**meet___the___company's___standards**.","/æt ðə ˌkjuˈsi ˈsteɪʃən ðə ˈɔrioʊ ˈkʊkiz ˌʌndɚˈgoʊ ˈkwɑləti kənˈtroʊl tʃɛks tə ɪnˈʃʊr ðeɪ mit ðə ˈkʌmpəniz ˈstændɚdz/","æt___ðə___ˌkjuˈsi___ˈsteɪʃən___ðə___ˈɔrioʊ___ˈkʊkiz___ˌʌndɚˈgoʊ___ˈkwɑləti___kənˈtroʊl___tʃɛks___tə___ɪnˈʃʊr___ðeɪ___mit___ðə___ˈkʌmpəniz___ˈstændɚdz"
"44","approved, packaged, larger boxes, shipped, distribution centers","Sau khi được phê duyệt, bánh được đóng gói vào các thùng hoặc hộp lớn hơn và vận chuyển đến các trung tâm phân phối, nơi chúng sau đó được gửi đến các nhà bán lẻ để bán.","Once approved, they are **packaged** into larger boxes or containers and shipped to **distribution centers** where they are then sent to retailers for sale.","Once___approved,___they___are___**packaged**___into___larger___boxes___or___containers___and___shipped___to___**distribution___centers**___where___they___are___then___sent___to___retailers___for___sale.","/wʌns əˈpruvd ðeɪ ɑr ˈpækɪdʒd ˈɪntu ˈlɑrdʒɚ ˈbɑksəz ɔr kənˈteɪnɚz ænd ʃɪpt tə ˌdɪstrəˈbjuʃən ˈsɛntɚz wɛr ðeɪ ɑr ðɛn sɛnt tə riˈteɪlɚz fɔr seɪl/","wʌns___əˈpruvd___ðeɪ___ɑr___ˈpækɪdʒd___ˈɪntu___ˈlɑrdʒɚ___ˈbɑksəz___ɔr___kənˈteɪnɚz___ænd___ʃɪpt___tə___ˌdɪstrəˈbjuʃən___ˈsɛntɚz___wɛr___ðeɪ___ɑr___ðɛn___sɛnt___tə___riˈteɪlɚz___fɔr___seɪl"
"45","iconic cookie, available, a hundred countries, around the globe, 34 billion","Chiếc bánh mang tính biểu tượng này hiện có mặt tại hơn một trăm quốc gia trên khắp thế giới, và khoảng 34 tỷ chiếc được bán ra mỗi năm.","This **iconic** cookie is available in more than a hundred countries around the globe, and approximately **34 billion** are sold each year.","This___**iconic**___cookie___is___available___in___more___than___a___hundred___countries___around___the___globe,___and___approximately___**34___billion**___are___sold___each___year.","/ðɪs aɪˈkɑnɪk ˈkʊki ɪz əˈveɪləbəl ɪn mɔr ðæn ə ˈhʌndrəd ˈkʌntriz əˈraʊnd ðə gloʊb ænd əˈprɑksəmətli ˈθɜrti.fɔr ˈbɪljən ɑr soʊld itʃ jɪr/","ðɪs___aɪˈkɑnɪk___ˈkʊki___ɪz___əˈveɪləbəl___ɪn___mɔr___ðæn___ə___ˈhʌndrəd___ˈkʌntriz___əˈraʊnd___ðə___gloʊb___ænd___əˈprɑksəmətli___ˈθɜrti.fɔr___ˈbɪljən___ɑr___soʊld___itʃ___jɪr"
